#Archive/File	Name	Time	Size	Type
Archive	GSE249362_RAW.tar	06/15/2024 00:21:16	10042183680	TAR
File	GSM7937497_20230718_KS127_ChIP_NCIH1048_DMSO_RPB1_DX2_rep1_4.sorted.bw	11/17/2023 16:41:28	102538358	BW
File	GSM7937498_20230718_KS128_ChIP_NCIH1048_DMSO_H3K27ac_DX2_rep1_4.sorted.bw	11/17/2023 16:42:13	139126256	BW
File	GSM7937499_20230718_KS129_ChIP_NCIH1048_DMSO_BRD9_DX2_rep1_4.sorted.bw	11/17/2023 16:41:18	114971501	BW
File	GSM7937500_20230718_KS131_ChIP_NCIH1048_DMSO_POU2F3_DX2_rep1_4.sorted.bw	11/17/2023 16:42:58	156461637	BW
File	GSM7937501_20230718_KS132_ChIP_NCIH1048_DMSO_Input_DX2_4.sorted.bw	11/17/2023 16:44:52	191642619	BW
File	GSM7937502_20230718_KS135_ChIP_NCIH1048_FHD286_RPB1_DX2_rep1_4.sorted.bw	11/17/2023 16:42:55	124281150	BW
File	GSM7937503_20230718_KS136_ChIP_NCIH1048_FHD286_H3K27ac_DX2_rep1_4.sorted.bw	11/17/2023 16:44:00	170995178	BW
File	GSM7937504_20230718_KS137_ChIP_NCIH1048_FHD286_BRD9_DX2_rep1_4.sorted.bw	12/04/2023 22:03:31	23956935	BW
File	GSM7937505_20230718_KS139_ChIP_NCIH1048_FHD286_POU2F3_DX2_rep1_4.sorted.bw	11/17/2023 16:41:57	138459703	BW
File	GSM7937506_20230718_KS140_ChIP_NCIH1048_FHD286_Input_DX2_4.sorted.bw	12/04/2023 22:09:51	204712353	BW
File	GSM7937507_20231109_KS157_ChIP_NCIH1048_DMSO_POU2F3_DX2_rep2_4.sorted.bw	11/13/2023 18:23:42	174406226	BW
File	GSM7937508_20231109_KS158_ChIP_NCIH1048_DMSO_H3K27ac_DX2_rep2_4.sorted.bw	11/13/2023 18:25:07	195023979	BW
File	GSM7937509_20231109_KS160_ChIP_NCIH1048_DMSO_Input_DX2_rep3_4.sorted.bw	11/13/2023 18:23:26	181646623	BW
File	GSM7937510_20231109_KS164_ChIP_NCIH1048_FHD609_POU2F3_DX2_rep2_4.sorted.bw	11/13/2023 18:23:28	161047573	BW
File	GSM7937511_20231109_KS165_ChIP_NCIH1048_FHD609_H3K27ac_DX2_rep1_4.sorted.bw	11/13/2023 18:25:08	188787393	BW
File	GSM7937512_20230824_KSA041_NCIH211_DMSO_rep1_4.sorted_38-100.bw	12/04/2023 21:47:14	13031852	BW
File	GSM7937513_20230824_KSA042_NCIH211_DMSO_rep2_4.sorted_38-100.bw	12/04/2023 21:47:17	12906054	BW
File	GSM7937514_20230824_KSA043_NCIH211_FHD286_rep1_4.sorted_38-100.bw	12/04/2023 21:47:13	13419653	BW
File	GSM7937515_20230824_KSA044_NCIH211_FHD286_rep2_4.sorted_38-100.bw	12/04/2023 21:47:20	14850401	BW
File	GSM7937516_20230824_KSA045_NCIH211_FHD286_rep3_4.sorted_38-100.bw	12/04/2023 21:47:46	15751792	BW
File	GSM7937517_20230824_KSA046_CORL311_DMSO_rep1_4.sorted_38-100.bw	12/04/2023 21:47:58	18470908	BW
File	GSM7937518_20230824_KSA047_CORL311_DMSO_rep2_4.sorted_38-100.bw	12/04/2023 21:47:57	17961239	BW
File	GSM7937519_20230824_KSA048_CORL311_DMSO_rep3_4.sorted_38-100.bw	12/04/2023 21:47:39	17318608	BW
File	GSM7937520_20230824_KSA049_CORL311_FHD286_rep1_4.sorted_38-100.bw	12/04/2023 21:47:27	14878092	BW
File	GSM7937521_20230824_KSA050_CORL311_FHD286_rep2_4.sorted_38-100.bw	12/04/2023 21:47:24	14804998	BW
File	GSM7937522_20230824_KSA051_CORL311_FHD286_rep3_4.sorted_38-100.bw	12/04/2023 21:47:23	13172923	BW
File	GSM7937523_20230824_KSA052_NCIH526_DMSO_rep1_4.sorted_38-100.bw	12/04/2023 21:47:37	24135343	BW
File	GSM7937524_20230824_KSA053_NCIH526_DMSO_rep2_4.sorted_38-100.bw	12/04/2023 21:47:34	21575664	BW
File	GSM7937525_20230824_KSA054_NCIH526_DMSO_rep3_4.sorted_38-100.bw	12/04/2023 21:47:51	28020597	BW
File	GSM7937526_20230824_KSA055_NCIH526_FHD286_rep1_4.sorted_38-100.bw	12/04/2023 21:47:41	23840863	BW
File	GSM7937527_20230824_KSA056_NCIH526_FHD286_rep2_4.sorted_38-100.bw	12/04/2023 21:47:42	20234866	BW
File	GSM7937528_20230824_KSA057_NCIH526_FHD286_rep3_4.sorted_38-100.bw	12/04/2023 21:47:47	29302091	BW
File	GSM7937529_20230824_KSA058_NCIH1048_DMSO_rep1_4.sorted_38-100.bw	12/04/2023 21:47:44	16221565	BW
File	GSM7937530_20230824_KSA059_NCIH1048_DMSO_rep2_4.sorted_38-100.bw	12/04/2023 21:47:50	19844717	BW
