#Archive/File	Name	Time	Size	Type
Archive	GSE256345_RAW.tar	08/28/2024 18:58:19	5020170240	TAR
File	GSM8094116_H146_CTR_1.PeakNorm.bw	02/19/2024 11:48:15	250599945	BW
File	GSM8094117_H146_CTR_2.PeakNorm.bw	02/19/2024 11:48:44	407228220	BW
File	GSM8094118_H146_CTR_3.PeakNorm.bw	02/19/2024 11:48:08	334080517	BW
File	GSM8094119_H146_CTR_4.PeakNorm.bw	02/19/2024 11:49:10	404594264	BW
File	GSM8094120_H146_TRT1.PeakNorm.bw	02/19/2024 11:49:17	355061180	BW
File	GSM8094121_H146_TRT2.PeakNorm.bw	02/19/2024 11:48:55	526087970	BW
File	GSM8094122_H146_TRT3.PeakNorm.bw	02/19/2024 11:49:11	405168808	BW
File	GSM8094123_H82_CTR_1.PeakNorm.bw	02/19/2024 11:48:39	432624096	BW
File	GSM8094124_H82_CTR_2.PeakNorm.bw	02/19/2024 11:48:39	423810643	BW
File	GSM8094125_H82_CTR_3.PeakNorm.bw	02/19/2024 11:49:13	373493287	BW
File	GSM8094126_H82_TRT1.PeakNorm.bw	02/19/2024 11:49:06	339151234	BW
File	GSM8094127_H82_TRT2.PeakNorm.bw	02/19/2024 11:49:20	338550851	BW
File	GSM8094128_H82_TRT3.PeakNorm.bw	02/19/2024 11:48:48	429704783	BW

