#Archive/File	Name	Time	Size	Type
Archive	GSE230649_RAW.tar	07/31/2024 00:33:26	9223034880	TAR
File	GSM7230493_H3K27Ac_COLO668_R1_treat_pileup.bedgraph.gz	04/26/2023 11:51:58	442682881	BEDGRAPH
File	GSM7230494_H3K27Ac_H1048_R1_treat_pileup.bedgraph.gz	04/26/2023 11:53:30	411111936	BEDGRAPH
File	GSM7230495_H3K27Ac_H196_R1_treat_pileup.bedgraph.gz	04/26/2023 11:54:24	233888997	BEDGRAPH
File	GSM7230496_H3K27Ac_H211_R1_treat_pileup.bedgraph.gz	04/26/2023 11:56:38	605971005	BEDGRAPH
File	GSM7230497_H3K27Ac_H524_R1_treat_pileup.bedgraph.gz	04/26/2023 11:57:33	237866964	BEDGRAPH
File	GSM7230498_H3K27Ac_H526_R1_treat_pileup.bedgraph.gz	04/26/2023 11:58:32	261364359	BEDGRAPH
File	GSM7230499_H3K27Ac_H69_R1_treat_pileup.bedgraph.gz	04/26/2023 11:59:22	213675840	BEDGRAPH
File	GSM7230500_H3K27Ac_H847_R1_treat_pileup.bedgraph.gz	04/26/2023 12:01:07	467976341	BEDGRAPH
File	GSM7230501_H3K27Ac_H889_R1_treat_pileup.bedgraph.gz	04/26/2023 12:02:01	235781569	BEDGRAPH
File	GSM7230502_H3K27Ac_SHP77_R1_treat_pileup.bedgraph.gz	04/26/2023 12:03:27	390389043	BEDGRAPH
File	GSM7230503_MYC_H1048_R1_treat_pileup.bedgraph.gz	04/26/2023 12:04:25	252749930	BEDGRAPH
File	GSM7230504_MYC_H211_R1_treat_pileup.bedgraph.gz	04/26/2023 12:05:18	223798371	BEDGRAPH
File	GSM7230505_MYC_H524_R1_treat_pileup.bedgraph.gz	04/26/2023 12:06:40	356112450	BEDGRAPH
File	GSM7230506_MYC_H847_R1_treat_pileup.bedgraph.gz	04/26/2023 12:07:51	310981839	BEDGRAPH
File	GSM7230507_MYC_SHP77_R1_treat_pileup.bedgraph.gz	04/26/2023 12:08:35	180429727	BEDGRAPH
File	GSM7230508_MYCL1_COLO668_R1_treat_pileup.bedgraph.gz	04/26/2023 12:10:12	399647454	BEDGRAPH
File	GSM7230509_MYCL1_H889_R1_treat_pileup.bedgraph.gz	04/26/2023 12:11:31	323993535	BEDGRAPH
File	GSM7230510_MYCN_H526_R1_treat_pileup.bedgraph.gz	04/26/2023 12:13:13	442140865	BEDGRAPH
File	GSM7230511_MYCN_H69_R1_treat_pileup.bedgraph.gz	04/26/2023 12:14:46	400971832	BEDGRAPH
File	GSM7230512_COLO668_treat_pileup.bedgraph.gz	04/26/2023 12:16:02	331329518	BEDGRAPH
File	GSM7230513_H1048_treat_pileup.bedgraph.gz	04/26/2023 12:17:20	340443282	BEDGRAPH
File	GSM7230514_H196_treat_pileup.bedgraph.gz	04/26/2023 12:17:57	155789257	BEDGRAPH
File	GSM7230515_H524_treat_pileup.bedgraph.gz	04/26/2023 12:18:46	210603083	BEDGRAPH
File	GSM7230516_H526_treat_pileup.bedgraph.gz	04/26/2023 12:20:18	402912903	BEDGRAPH
File	GSM7230517_H69_treat_pileup.bedgraph.gz	04/26/2023 12:21:52	417147703	BEDGRAPH
File	GSM7230518_H847_treat_pileup.bedgraph.gz	04/26/2023 12:22:58	283836371	BEDGRAPH
File	GSM7230519_H889_treat_pileup.bedgraph.gz	04/26/2023 12:24:14	332326285	BEDGRAPH
File	GSM7230520_SHP77_treat_pileup.bedgraph.gz	04/26/2023 12:25:36	357082276	BEDGRAPH

