#Archive/File	Name	Time	Size	Type
Archive	GSE281524_RAW.tar	04/14/2025 00:17:55	5627299840	TAR
File	GSM8622658_H1836-ASCL1ChiP1.hg38.sorted.RmDup.10mNorm.bw	11/06/2024 20:33:25	731815304	BW
File	GSM8622659_H1836-ASCL1ChiP2.hg38.sorted.RmDup.10mNorm.bw	11/06/2024 20:31:31	649866741	BW
File	GSM8622660_H1836-IgG1.hg38.sorted.RmDup.10mNorm.bw	11/06/2024 20:49:32	757126307	BW
File	GSM8622661_H1836-IgG2.hg38.sorted.RmDup.10mNorm.bw	11/06/2024 20:45:57	528390920	BW
File	GSM8622662_H1836-input.hg38.sorted.RmDup.10mNorm.bw	11/06/2024 21:01:56	670138574	BW
File	GSM8622663_SHP-77_ASCL1ChiP1.hg38.sorted.RmDup.10mNorm.bw	11/06/2024 20:58:50	389012032	BW
File	GSM8622664_SHP-77_ASCL1ChiP2.hg38.sorted.RmDup.10mNorm.bw	11/06/2024 21:06:14	309174536	BW
File	GSM8622665_SHP-77_IgGcont1.hg38.sorted.RmDup.10mNorm.bw	11/06/2024 21:12:32	444659286	BW
File	GSM8622666_SHP-77_IgGcont2.hg38.sorted.RmDup.10mNorm.bw	11/06/2024 21:21:11	628806752	BW
File	GSM8622667_SHP-77_input.hg38.sorted.RmDup.10mNorm.bw	11/06/2024 21:23:04	518296545	BW

