#Archive/File	Name	Time	Size	Type
Archive	GSE261348_RAW.tar	04/10/2024 00:16:46	6369280	TAR
File	GSM8140998_DSP-1001660005214-G-A02.dcc.gz	03/11/2024 15:53:15	29314	DCC
File	GSM8140999_DSP-1001660005214-G-B04.dcc.gz	03/11/2024 15:53:15	31001	DCC
File	GSM8141000_DSP-1001660005214-G-B05.dcc.gz	03/11/2024 15:53:15	29596	DCC
File	GSM8141001_DSP-1001660005214-G-B06.dcc.gz	03/11/2024 15:53:15	29069	DCC
File	GSM8141002_DSP-1001660005214-G-A12.dcc.gz	03/11/2024 15:53:15	36629	DCC
File	GSM8141003_DSP-1001660005214-G-B01.dcc.gz	03/11/2024 15:53:15	32397	DCC
File	GSM8141004_DSP-1001660005214-G-B02.dcc.gz	03/11/2024 15:53:15	33866	DCC
File	GSM8141005_DSP-1001660005214-G-B03.dcc.gz	03/11/2024 15:53:16	33035	DCC
File	GSM8141006_DSP-1001660005214-G-C02.dcc.gz	03/11/2024 15:53:16	35330	DCC
File	GSM8141007_DSP-1001660005214-G-C03.dcc.gz	03/11/2024 15:53:16	36537	DCC
File	GSM8141008_DSP-1001660005214-G-C04.dcc.gz	03/11/2024 15:53:16	35410	DCC
File	GSM8141009_DSP-1001660005214-G-C05.dcc.gz	03/11/2024 15:53:16	33063	DCC
File	GSM8141010_DSP-1001660005214-G-C06.dcc.gz	03/11/2024 15:53:16	32890	DCC
File	GSM8141011_DSP-1001660005214-G-B07.dcc.gz	03/11/2024 15:53:16	33651	DCC
File	GSM8141012_DSP-1001660005214-G-B08.dcc.gz	03/11/2024 15:53:16	36173	DCC
File	GSM8141013_DSP-1001660005214-G-B09.dcc.gz	03/11/2024 15:53:16	35010	DCC
File	GSM8141014_DSP-1001660005214-G-B10.dcc.gz	03/11/2024 15:53:16	39366	DCC
File	GSM8141015_DSP-1001660005214-G-B11.dcc.gz	03/11/2024 15:53:16	36485	DCC
File	GSM8141016_DSP-1001660005214-G-B12.dcc.gz	03/11/2024 15:53:16	38692	DCC
File	GSM8141017_DSP-1001660005214-G-C01.dcc.gz	03/11/2024 15:53:16	38252	DCC
File	GSM8141018_DSP-1001660005214-G-C11.dcc.gz	03/11/2024 15:53:16	39208	DCC
File	GSM8141019_DSP-1001660005214-G-C12.dcc.gz	03/11/2024 15:53:16	39603	DCC
File	GSM8141020_DSP-1001660005214-G-D01.dcc.gz	03/11/2024 15:53:16	38213	DCC
File	GSM8141021_DSP-1001660005214-G-D02.dcc.gz	03/11/2024 15:53:16	36201	DCC
File	GSM8141022_DSP-1001660005214-G-D03.dcc.gz	03/11/2024 15:53:16	39411	DCC
File	GSM8141023_DSP-1001660005214-G-D04.dcc.gz	03/11/2024 15:53:16	38888	DCC
File	GSM8141024_DSP-1001660005214-G-D05.dcc.gz	03/11/2024 15:53:16	38593	DCC
File	GSM8141025_DSP-1001660005214-G-D06.dcc.gz	03/11/2024 15:53:16	38728	DCC
File	GSM8141026_DSP-1001660005214-G-C07.dcc.gz	03/11/2024 15:53:16	34744	DCC
File	GSM8141027_DSP-1001660005214-G-C08.dcc.gz	03/11/2024 15:53:16	30692	DCC
File	GSM8141028_DSP-1001660005214-G-C09.dcc.gz	03/11/2024 15:53:16	30828	DCC
File	GSM8141029_DSP-1001660005214-G-C10.dcc.gz	03/11/2024 15:53:16	33489	DCC
File	GSM8141030_DSP-1001660005214-G-D07.dcc.gz	03/11/2024 15:53:16	34872	DCC
File	GSM8141031_DSP-1001660005214-G-D08.dcc.gz	03/11/2024 15:53:16	35229	DCC
File	GSM8141032_DSP-1001660005214-G-D09.dcc.gz	03/11/2024 15:53:16	35284	DCC
File	GSM8141033_DSP-1001660005214-G-D10.dcc.gz	03/11/2024 15:53:16	35479	DCC
File	GSM8141034_DSP-1001660005214-G-D11.dcc.gz	03/11/2024 15:53:16	36040	DCC
File	GSM8141035_DSP-1001660005214-G-D12.dcc.gz	03/11/2024 15:53:16	35487	DCC
File	GSM8141036_DSP-1001660005214-G-E01.dcc.gz	03/11/2024 15:53:16	34990	DCC
File	GSM8141037_DSP-1001660005214-G-E03.dcc.gz	03/11/2024 15:53:16	33215	DCC
File	GSM8141038_DSP-1001660005214-G-E04.dcc.gz	03/11/2024 15:53:16	34148	DCC
File	GSM8141039_DSP-1001660005214-G-E05.dcc.gz	03/11/2024 15:53:16	35864	DCC
File	GSM8141040_DSP-1001660005214-G-E06.dcc.gz	03/11/2024 15:53:16	31349	DCC
File	GSM8141041_DSP-1001660005214-G-E07.dcc.gz	03/11/2024 15:53:16	30379	DCC
File	GSM8141042_DSP-1001660005214-G-E08.dcc.gz	03/11/2024 15:53:16	36710	DCC
File	GSM8141043_DSP-1001660005214-G-E09.dcc.gz	03/11/2024 15:53:16	36853	DCC
File	GSM8141044_DSP-1001660005214-G-E10.dcc.gz	03/11/2024 15:53:16	36062	DCC
File	GSM8141045_DSP-1001660005214-G-E11.dcc.gz	03/11/2024 15:53:16	36370	DCC
File	GSM8141046_DSP-1001660005214-G-E12.dcc.gz	03/11/2024 15:53:16	38018	DCC
File	GSM8141047_DSP-1001660005214-G-F01.dcc.gz	03/11/2024 15:53:16	38050	DCC
File	GSM8141048_DSP-1001660005214-G-F02.dcc.gz	03/11/2024 15:53:16	37419	DCC
File	GSM8141049_DSP-1001660005214-G-F03.dcc.gz	03/11/2024 15:53:16	37434	DCC
File	GSM8141050_DSP-1001660005214-G-F04.dcc.gz	03/11/2024 15:53:16	35174	DCC
File	GSM8141051_DSP-1001660005214-G-F05.dcc.gz	03/11/2024 15:53:16	37040	DCC
File	GSM8141052_DSP-1001660005214-G-F06.dcc.gz	03/11/2024 15:53:16	36621	DCC
File	GSM8141053_DSP-1001660005214-G-F07.dcc.gz	03/11/2024 15:53:16	37258	DCC
File	GSM8141054_DSP-1001660005214-G-F08.dcc.gz	03/11/2024 15:53:16	37187	DCC
File	GSM8141055_DSP-1001660005214-G-F09.dcc.gz	03/11/2024 15:53:16	35297	DCC
File	GSM8141056_DSP-1001660005214-G-F10.dcc.gz	03/11/2024 15:53:16	36311	DCC
File	GSM8141057_DSP-1001660005214-G-F11.dcc.gz	03/11/2024 15:53:16	36718	DCC
File	GSM8141058_DSP-1001660005214-G-F12.dcc.gz	03/11/2024 15:53:16	36950	DCC
File	GSM8141059_DSP-1001660005214-G-G01.dcc.gz	03/11/2024 15:53:16	35265	DCC
File	GSM8141060_DSP-1001660005214-G-G02.dcc.gz	03/11/2024 15:53:16	36067	DCC
File	GSM8141061_DSP-1001660005214-G-G03.dcc.gz	03/11/2024 15:53:16	36650	DCC
File	GSM8141062_DSP-1001660005214-G-G04.dcc.gz	03/11/2024 15:53:16	35353	DCC
File	GSM8141063_DSP-1001660005214-G-G05.dcc.gz	03/11/2024 15:53:16	34051	DCC
File	GSM8141064_DSP-1001660005214-G-G06.dcc.gz	03/11/2024 15:53:17	36868	DCC
File	GSM8141065_DSP-1001660005214-G-G07.dcc.gz	03/11/2024 15:53:17	36846	DCC
File	GSM8141066_DSP-1001660005214-G-G08.dcc.gz	03/11/2024 15:53:17	36487	DCC
File	GSM8141067_DSP-1001660005214-G-G09.dcc.gz	03/11/2024 15:53:17	35258	DCC
File	GSM8141068_DSP-1001660005214-G-G10.dcc.gz	03/11/2024 15:53:17	36943	DCC
File	GSM8141069_DSP-1001660005214-G-G11.dcc.gz	03/11/2024 15:53:17	33286	DCC
File	GSM8141070_DSP-1001660005214-G-G12.dcc.gz	03/11/2024 15:53:17	35895	DCC
File	GSM8141071_DSP-1001660005214-G-H01.dcc.gz	03/11/2024 15:53:17	35902	DCC
File	GSM8141072_DSP-1001660005214-G-H02.dcc.gz	03/11/2024 15:53:17	34177	DCC
File	GSM8141073_DSP-1001660005214-G-H03.dcc.gz	03/11/2024 15:53:17	38638	DCC
File	GSM8141074_DSP-1001660005214-G-H05.dcc.gz	03/11/2024 15:53:17	37072	DCC
File	GSM8141075_DSP-1001660005214-G-H06.dcc.gz	03/11/2024 15:53:17	37043	DCC
File	GSM8141076_DSP-1001660005214-G-H07.dcc.gz	03/11/2024 15:53:17	39307	DCC
File	GSM8141077_DSP-1001660005214-G-H08.dcc.gz	03/11/2024 15:53:17	35869	DCC
File	GSM8141078_DSP-1001660005214-G-H09.dcc.gz	03/11/2024 15:53:17	33313	DCC
File	GSM8141079_DSP-1001660005214-G-H10.dcc.gz	03/11/2024 15:53:17	33919	DCC
File	GSM8141080_DSP-1001660005214-G-H11.dcc.gz	03/11/2024 15:53:17	32478	DCC
File	GSM8141081_DSP-1001660005214-G-H12.dcc.gz	03/11/2024 15:53:17	35255	DCC
File	GSM8141082_DSP-1001660003149-H-A02.dcc.gz	03/11/2024 15:53:17	34915	DCC
File	GSM8141083_DSP-1001660003149-H-A03.dcc.gz	03/11/2024 15:53:17	30977	DCC
File	GSM8141084_DSP-1001660003149-H-A04.dcc.gz	03/11/2024 15:53:17	34385	DCC
File	GSM8141085_DSP-1001660003149-H-A05.dcc.gz	03/11/2024 15:53:17	33363	DCC
File	GSM8141086_DSP-1001660003149-H-A06.dcc.gz	03/11/2024 15:53:17	33742	DCC
File	GSM8141087_DSP-1001660003149-H-A07.dcc.gz	03/11/2024 15:53:17	30829	DCC
File	GSM8141088_DSP-1001660003149-H-A08.dcc.gz	03/11/2024 15:53:17	31757	DCC
File	GSM8141089_DSP-1001660003149-H-A09.dcc.gz	03/11/2024 15:53:17	32394	DCC
File	GSM8141090_DSP-1001660003149-H-A10.dcc.gz	03/11/2024 15:53:17	31351	DCC
File	GSM8141091_DSP-1001660003149-H-A11.dcc.gz	03/11/2024 15:53:17	34342	DCC
File	GSM8141092_DSP-1001660003149-H-A12.dcc.gz	03/11/2024 15:53:17	32063	DCC
File	GSM8141093_DSP-1001660003149-H-B01.dcc.gz	03/11/2024 15:53:17	30193	DCC
File	GSM8141094_DSP-1001660003149-H-B02.dcc.gz	03/11/2024 15:53:17	37770	DCC
File	GSM8141095_DSP-1001660003149-H-B03.dcc.gz	03/11/2024 15:53:17	38406	DCC
File	GSM8141096_DSP-1001660003149-H-B04.dcc.gz	03/11/2024 15:53:17	36119	DCC
File	GSM8141097_DSP-1001660003149-H-B05.dcc.gz	03/11/2024 15:53:17	35638	DCC
File	GSM8141098_DSP-1001660003149-H-B06.dcc.gz	03/11/2024 15:53:17	34111	DCC
File	GSM8141099_DSP-1001660003149-H-B07.dcc.gz	03/11/2024 15:53:17	37597	DCC
File	GSM8141100_DSP-1001660003149-H-B08.dcc.gz	03/11/2024 15:53:17	38175	DCC
