#Archive/File	Name	Time	Size	Type
Archive	GSE281523_RAW.tar	04/14/2025 00:17:55	1404538880	TAR
File	GSM8622646_ATAC_FFPE_Never-met_Rep1.PeakNorm.bw	11/04/2024 15:41:27	109518831	BW
File	GSM8622647_ATAC_FFPE_Never-met_Rep2.PeakNorm.bw	11/04/2024 16:02:17	132186234	BW
File	GSM8622648_ATAC_FFPE_Met-associated_Rep1.PeakNorm.bw	11/04/2024 16:09:16	66363559	BW
File	GSM8622649_ATAC_FFPE_Met-associated_Rep2.PeakNorm.bw	11/04/2024 15:49:18	99121526	BW
File	GSM8622650_ATAC_Lx101_Rep1_14046_BT_29_hg38_sorted.RmDup.10mNorm.bw	11/04/2024 15:45:58	141568827	BW
File	GSM8622651_ATAC_Lx101_Rep2_14046_BT_33_hg38_sorted.RmDup.10mNorm.bw	11/04/2024 15:48:05	134533653	BW
File	GSM8622652_ATAC_Lx328_Rep1_14046_BT_27_hg38_sorted.RmDup.10mNorm.bw	11/04/2024 15:40:10	128645937	BW
File	GSM8622653_ATAC_Lx328_Rep2_14046_BT_31_hg38_sorted.RmDup.10mNorm.bw	11/04/2024 15:52:19	130483367	BW
File	GSM8622654_ATAC_Lx891_Rep1_14046_BT_28_hg38_sorted.RmDup.10mNorm.bw	11/04/2024 16:11:57	105008081	BW
File	GSM8622655_ATAC_Lx891_Rep2_14046_BT_32_hg38_sorted.RmDup.10mNorm.bw	11/04/2024 16:10:38	116154272	BW
File	GSM8622656_ATAC_Lx1231_Rep1_14046_BT_30_hg38_sorted.RmDup.10mNorm.bw	11/04/2024 16:01:20	134685261	BW
File	GSM8622657_ATAC_Lx1231_Rep2_14046_BT_34_hg38_sorted.RmDup.10mNorm.bw	11/04/2024 15:59:38	106259308	BW

