#Archive/File	Name	Time	Size	Type
Archive	GSE269424_RAW.tar	03/13/2025 14:47:17	1368514560	TAR
File	GSM8315374_H524_ASCL1_1.bw	06/07/2024 09:50:08	256469939	BW
File	GSM8315374_H524_ASCL1_1_peaks.narrowPeak.gz	06/09/2024 14:55:17	2757623	NARROWPEAK
File	GSM8315375_H524_ASCL1_2.bw	06/07/2024 09:49:12	222116687	BW
File	GSM8315375_H524_ASCL1_2_peaks.narrowPeak.gz	06/09/2024 14:55:18	2656783	NARROWPEAK
File	GSM8315376_H524_EGFP_1.bw	06/07/2024 09:54:30	174206525	BW
File	GSM8315376_H524_EGFP_1_peaks.narrowPeak.gz	06/09/2024 14:55:18	2514801	NARROWPEAK
File	GSM8315377_H524_EGFP_2.bw	06/07/2024 09:55:48	173916614	BW
File	GSM8315377_H524_EGFP_2_peaks.narrowPeak.gz	06/09/2024 14:55:19	2379647	NARROWPEAK
File	GSM8315378_Lu139_EGFP_1.bw	06/07/2024 09:58:46	150335380	BW
File	GSM8315378_Lu139_EGFP_1_peaks.narrowPeak.gz	06/09/2024 14:55:19	1333979	NARROWPEAK
File	GSM8315379_Lu139_EGFP_2.bw	06/07/2024 09:59:46	122558468	BW
File	GSM8315379_Lu139_EGFP_2_peaks.narrowPeak.gz	06/09/2024 14:55:20	1597345	NARROWPEAK
File	GSM8315380_Lu139_NEUROD1_1.bw	06/07/2024 10:02:32	128001488	BW
File	GSM8315380_Lu139_NEUROD1_1_peaks.narrowPeak.gz	06/09/2024 14:55:20	1347618	NARROWPEAK
File	GSM8315381_Lu139_NEUROD1_2.bw	06/07/2024 10:03:53	124895287	BW
File	GSM8315381_Lu139_NEUROD1_2_peaks.narrowPeak.gz	06/09/2024 14:55:20	1406683	NARROWPEAK

