#Archive/File	Name	Time	Size	Type
Archive	GSE210113_RAW.tar	11/25/2022 19:15:45	12523520	TAR
File	GSM6421552_H3K27Ac_NTgRNA_peaks.broadPeak.gz	07/29/2022 18:34:42	1493738	BROADPEAK
File	GSM6421553_H3K27Ac_ND1-KO.peaks.broadPeak.gz	07/29/2022 18:34:42	1296992	BROADPEAK
File	GSM6421554_NEUROD1_NTgRNA_peaks.narrowPeak.gz	07/29/2022 18:34:43	1586093	NARROWPEAK
File	GSM6421555_H446_ND1-KO_NEUROD1_MACS2_Peak_peaks.narrowPeak.gz	08/29/2022 13:35:59	64190	NARROWPEAK
File	GSM6421556_RPII_NTgRNA.broadPeak.gz	07/29/2022 18:34:43	1116582	BROADPEAK
File	GSM6421557_RPII_ND1-KO.broadPeak.gz	07/29/2022 18:34:44	894864	BROADPEAK
File	GSM6421558_BRD2_NTgRNA_peaks.broadPeak.gz	07/29/2022 18:34:44	1233494	BROADPEAK
File	GSM6421559_BRD2_ND1-KO_peaks.broadPeak.gz	07/29/2022 18:34:45	1089683	BROADPEAK
File	GSM6421560_BRD3_NTgRNA_peaks.broadPeak.gz	07/29/2022 18:34:45	615279	BROADPEAK
File	GSM6421561_BRD3_ND1-KO_peaks.broadPeak.gz	07/29/2022 18:34:45	690947	BROADPEAK
File	GSM6421562_BRD4_NTgRNA_peaks.broadPeak.gz	07/29/2022 18:34:46	1284952	BROADPEAK
File	GSM6421563_BRD4_ND1-KO_peaks.broadPeak.gz	07/29/2022 18:34:46	1144846	BROADPEAK

