"","MYC","MYCN","MYCL1"
"MYC",-0.202147082510783,0.175120055396018,0.24161645714518
"MYCN",-0.415516444048237,0.134898313208193,0.118057330874111
"MYCL1",-0.467757248367618,0.0750839561897175,0.268066460237194
