"paralog","gene","moes_score","rank","fdr","cis_rank","func_rank","boot_rank_lo","boot_rank_hi","rel_interval_width","stable","in_regulon"
"MYC","PRPF8",0.110454977431641,984,1,2441,920,159,2709,0.2455,TRUE,FALSE
"MYC","MRPS28",0.110493387005028,985,1,6454,291,94,1116,0.0983,TRUE,FALSE
"MYC","PITHD1",0.110726643598616,986,1,2444,1140,234,3067,0.2727,FALSE,FALSE
"MYC","POU3F1",0.110726643598616,986,1,646,2444,337,6170,0.5615,FALSE,FALSE
"MYC","ASH1L",0.110817273137363,988,1,2445,1165,245,3114,0.2762,FALSE,FALSE
"MYC","MATR3",0.110867676433713,989,1,292,7315,152,8677,0.8208,FALSE,TRUE
"MYC","TCF19",0.110867676433713,989,1,6454,292,94,1117,0.0984,TRUE,FALSE
"MYC","MYL5",0.11124192878752,991,1,293,5595,189,6074,0.5665,FALSE,TRUE
"MYC","PAF1",0.11161614406645,992,1,2592,294,27,1121,0.1053,TRUE,FALSE
"MYC","ASPSCR1",0.111725607643112,993,1,698,2455,411,6157,0.5532,FALSE,FALSE
"MYC","FAM229B",0.111816645005515,994,1,523,2456,227,6193,0.5743,FALSE,FALSE
"MYC","WARS1",0.111816645005515,994,1,2456,544,55,1808,0.1688,TRUE,FALSE
"MYC","ATP6V0C",0.112364463399676,996,1,296,3524,133,8684,0.8233,FALSE,TRUE
"MYC","GPR155",0.112364463399676,996,1,6454,296,90,1125,0.0996,TRUE,FALSE
"MYC","EIF4ENIF1",0.11263764963664,998,1,1059,2465,446,6205,0.5545,FALSE,FALSE
"MYC","THAP5",0.11272905774782,999,1,2466,471,43,1606,0.1504,TRUE,FALSE
"MYC","AMDHD2",0.112738567453972,1000,1,297,9393,142,8706,0.8245,FALSE,TRUE
"MYC","HMGB1",0.112738567453972,1000,1,2801,297,39,1128,0.1048,TRUE,FALSE
"MYC","TMEM126B",0.112911985194815,1002,1,2352,2468,1056,6226,0.4977,FALSE,FALSE
"MYC","DAP3",0.113112634433391,1003,1,3199,298,41,1130,0.1048,TRUE,FALSE
"MYC","RPS11",0.113112634433391,1003,1,298,9944,293,8704,0.8097,FALSE,TRUE
"MYC","GUK1",0.11318665442689,1005,1,2471,669,76,2094,0.1943,TRUE,FALSE
"MYC","PPP6R1",0.113278284987337,1006,1,2472,2194,866,5856,0.4804,FALSE,FALSE
"MYC","ZNF768",0.113486664337932,1007,1,3272,299,44,1132,0.1048,TRUE,FALSE
"MYC","PIM1",0.113860657167595,1008,1,3127,300,39,1134,0.1054,TRUE,FALSE
"MYC","ZNF550",0.114012664166516,1009,1,2480,2319,979,6027,0.486,FALSE,FALSE
"MYC","PES1",0.114104628400863,1010,1,1376,2481,1046,6225,0.4986,FALSE,FALSE
"MYC","SF3A3",0.114196629710089,1011,1,1634,2482,1057,6224,0.4975,FALSE,FALSE
"MYC","LRSAM1",0.11423461292238,1012,1,6454,301,97,1137,0.1001,TRUE,FALSE
"MYC","ZNF668",0.11423461292238,1012,1,301,8107,159,8703,0.8225,FALSE,TRUE
"MYC","SKP1",0.114380743553172,1014,1,2484,655,75,2059,0.191,TRUE,FALSE
"MYC","ZNF581",0.114472856087031,1015,1,347,2485,314,6204,0.567,FALSE,TRUE
"MYC","GPR153",0.114565005695767,1016,1,1856,2486,1065,6237,0.4979,FALSE,FALSE
"MYC","ZNF646",0.114608531602287,1017,1,302,7393,195,8702,0.819,FALSE,TRUE
"MYC","ZSCAN22",0.114608531602287,1017,1,6454,302,98,1140,0.1003,TRUE,FALSE
"MYC","RAB39B",0.114841676971243,1019,1,2489,2205,865,5873,0.4821,FALSE,FALSE
"MYC","RPL10",0.11493397487949,1020,1,1306,2490,649,6235,0.5378,FALSE,FALSE
"MYC","TMEM132E",0.114982413207317,1021,1,303,5048,156,8683,0.821,FALSE,TRUE
"MYC","DECR1",0.115303537261258,1022,1,1526,2494,1017,6247,0.5035,FALSE,FALSE
"MYC","ALAS1",0.115356257737469,1023,1,3231,304,44,1143,0.1058,TRUE,FALSE
"MYC","PCBP1",0.115356257737469,1023,1,304,10251,153,8704,0.8232,FALSE,TRUE
"MYC","GRIN1",0.115488540901408,1025,1,825,2496,482,6224,0.5529,FALSE,FALSE
"MYC","CENPX",0.115730065192743,1026,1,305,9069,307,8700,0.808,FALSE,TRUE
"MYC","RPL3",0.115951698812146,1027,1,2501,2147,642,5781,0.4948,FALSE,FALSE
"MYC","MLLT6",0.116103835573139,1028,1,306,7668,142,8704,0.8242,FALSE,TRUE
"MYC","LIME1",0.116322892488536,1029,1,1165,2505,549,6244,0.5483,FALSE,FALSE
"MYC","ATP5PD",0.116415783594828,1030,1,2506,614,67,1965,0.1827,TRUE,FALSE
"MYC","MAN2A2",0.116477568878658,1031,1,307,8907,150,8704,0.8234,FALSE,TRUE
"MYC","H4C3",0.116851265109299,1032,1,10150,308,1080,1154,0.0071,TRUE,FALSE
"MYC","KHSRP",0.116851265109299,1032,1,308,9068,148,8704,0.8237,FALSE,TRUE
"MYC","ZNF416",0.116880795249455,1034,1,2511,1284,297,4154,0.3713,FALSE,FALSE
"MYC","PREB",0.116973908805014,1035,1,2512,871,146,2651,0.2412,TRUE,FALSE
"MYC","POLR2G",0.117224924265062,1036,1,6454,309,94,1154,0.1021,TRUE,FALSE
"MYC","STUB1",0.117598546345947,1037,1,310,9819,128,8704,0.8257,FALSE,TRUE
"MYC","UTP25",0.117598546345947,1037,1,2731,310,33,1156,0.1082,TRUE,FALSE
"MYC","WNT11",0.117907083478879,1039,1,704,2522,325,6269,0.5722,FALSE,FALSE
"MYC","GRK4",0.117972131351954,1040,1,6454,311,91,1158,0.1027,TRUE,FALSE
"MYC","KIRREL2",0.118345679283084,1041,1,312,3025,150,6853,0.6452,FALSE,TRUE
"MYC","SEPTIN9",0.118375061123729,1042,1,2527,2107,601,5685,0.4895,FALSE,FALSE
"MYC","ATM",0.118719190139336,1043,1,6454,313,97,1163,0.1026,TRUE,FALSE
"MYC","EFNA1",0.118719190139336,1043,1,313,5132,318,6589,0.6037,FALSE,TRUE
"MYC","EP300",0.118750110587409,1045,1,2412,2531,1096,6305,0.5015,FALSE,FALSE
"MYC","TJAP1",0.119125753249133,1046,1,1470,2535,1074,6295,0.5026,FALSE,FALSE
"MYC","GPLD1",0.119466100627206,1047,1,6454,315,94,1167,0.1033,TRUE,FALSE
"MYC","PTCH1",0.119466100627206,1047,1,315,3006,412,5873,0.5257,FALSE,TRUE
"MYC","VMAC",0.119596140761039,1049,1,2540,1855,518,4924,0.4242,FALSE,FALSE
"MYC","P3H3",0.119839500258824,1050,1,316,10346,148,8706,0.8238,FALSE,TRUE
"MYC","KLF9",0.119878818166716,1051,1,388,2543,318,6289,0.5748,FALSE,FALSE
"MYC","KSR2",0.12006745514489,1052,1,2545,325,29,1194,0.1121,TRUE,FALSE
"MYC","BBLN",0.120212862815565,1053,1,317,7734,340,8702,0.805,FALSE,TRUE
"MYC","RASAL1",0.120212862815565,1053,1,10282,317,1102,1176,0.0072,TRUE,FALSE
"MYC","ZNF844",0.120350688673733,1055,1,1991,2548,1084,6317,0.5038,FALSE,FALSE
"MYC","UBOX5",0.12044517399977,1056,1,785,2549,344,6301,0.5735,FALSE,FALSE
"MYC","FSCN2",0.120586188297428,1057,1,318,3806,315,6274,0.5736,FALSE,TRUE
"MYC","ACLY",0.120728852427147,1058,1,1506,2552,1097,6318,0.5027,FALSE,FALSE
"MYC","NDUFA11",0.120918156753121,1059,1,2554,2222,897,5898,0.4815,FALSE,FALSE
"MYC","C5",0.121012864528424,1060,1,2555,363,30,1282,0.1205,TRUE,FALSE
"MYC","ANKRD18B",0.121107609378606,1061,1,1772,2556,1091,6323,0.5037,FALSE,FALSE
"MYC","TGFB3",0.121202391303665,1062,1,412,2557,204,6295,0.5864,FALSE,FALSE
"MYC","GTF2A1",0.12133272803652,1063,1,6454,320,96,1180,0.1044,TRUE,FALSE
"MYC","S100A2",0.12133272803652,1063,1,320,8568,151,8703,0.8233,FALSE,TRUE
"MYC","ARRDC2",0.121581889752679,1065,1,638,2561,383,6282,0.5679,FALSE,FALSE
"MYC","EP400",0.12170594229375,1066,1,2728,321,34,1182,0.1105,TRUE,FALSE
"MYC","CNTRL",0.121866902875656,1067,1,2564,968,172,2777,0.2508,FALSE,FALSE
"MYC","LCOR",0.122079119476102,1068,1,6454,322,93,1184,0.1051,TRUE,FALSE
"MYC","FAM91A1",0.122152249672534,1069,1,2567,586,64,1906,0.1773,TRUE,FALSE
"MYC","CHCHD4",0.122452259583575,1070,1,6454,323,96,1188,0.1051,TRUE,FALSE
"MYC","MAPT",0.122452259583575,1070,1,323,4509,165,8686,0.8203,FALSE,TRUE
"MYC","ANAPC5",0.122628569164885,1072,1,2572,593,61,1921,0.1791,TRUE,FALSE
"MYC","EFNA4",0.122628569164885,1072,1,1000,2572,458,6304,0.5628,FALSE,FALSE
"MYC","FOXM1",0.12281935648597,1074,1,1323,2574,1033,6342,0.5111,FALSE,FALSE
"MYC","RIC3",0.122825362616172,1075,1,10160,324,1120,1194,0.0071,TRUE,FALSE
"MYC","TMEM143",0.122825362616172,1075,1,324,2819,293,6120,0.561,FALSE,TRUE
"MYC","ARMH3",0.123105815529181,1077,1,2577,867,147,2640,0.24,TRUE,FALSE
"MYC","TCIRG1",0.12319842857389,1078,1,325,4283,197,8688,0.8174,FALSE,TRUE
"MYC","MIS12",0.123201376026674,1079,1,2578,549,57,1821,0.1698,TRUE,FALSE
"MYC","COA4",0.123571457456731,1080,1,3662,326,47,1195,0.1105,TRUE,FALSE
"MYC","DUSP7",0.123571457456731,1080,1,326,6579,138,7013,0.6618,FALSE,TRUE
"MYC","SYNGR4",0.123944449264694,1082,1,327,5817,323,6173,0.5632,FALSE,TRUE
"MYC","TMEM126A",0.123967194702215,1083,1,2006,2586,969,6364,0.5194,FALSE,FALSE
"MYC","ARHGEF17",0.124254988441026,1084,1,952,2589,429,6327,0.5678,FALSE,FALSE
"MYC","KAT6B",0.124317403997779,1085,1,6454,328,98,1200,0.1061,TRUE,FALSE
"MYC","NAXE",0.124317403997779,1085,1,328,6316,184,6916,0.6481,FALSE,TRUE
"MYC","RHOT1",0.124639232474397,1087,1,1350,2593,1056,6365,0.5111,FALSE,FALSE
"MYC","COL27A1",0.124690321655986,1088,1,329,2687,160,6474,0.6078,FALSE,TRUE
"MYC","SLC30A9",0.124690321655986,1088,1,6454,329,96,1201,0.1063,TRUE,FALSE
"MYC","AURKAIP1",0.125024069705812,1090,1,402,2597,192,6374,0.5952,FALSE,FALSE
