"cohort","roi","slide","single_patient","segment_type","nuclei","raw_reads","saturation"
"GSE261345","CAN-001 CAN-002 | 008 | Full ROI","CAN-001 CAN-002",FALSE,"Full ROI",3294,5454273,48.6268585879203
"GSE261345","CAN-001 CAN-002 | 009 | Full ROI","CAN-001 CAN-002",FALSE,"Full ROI",3571,5511395,43.7315601614588
"GSE261345","CAN-001 CAN-002 | 010 | Full ROI","CAN-001 CAN-002",FALSE,"Full ROI",3599,3746210,45.8555465775502
"GSE261345","CAN-001 CAN-002 | 011 | Full ROI","CAN-001 CAN-002",FALSE,"Full ROI",3565,5267096,48.8189959479246
"GSE261345","CAN-001 CAN-002 | 012 | Full ROI","CAN-001 CAN-002",FALSE,"Full ROI",3547,7951101,46.4478947013932
"GSE261345","CAN-001 CAN-002 | 013 | Full ROI","CAN-001 CAN-002",FALSE,"Full ROI",3793,7149519,52.2076234283273
"GSE261345","CAN-001 CAN-002 | 014 | Full ROI","CAN-001 CAN-002",FALSE,"Full ROI",3645,4722892,52.0217308646872
"GSE261345","CAN-001 CAN-002 | 015 | Full ROI","CAN-001 CAN-002",FALSE,"Full ROI",4112,6430540,50.1906966954325
"GSE261345","CAN-001 CAN-002 | 016 | Full ROI","CAN-001 CAN-002",FALSE,"Full ROI",3399,7915044,51.9167077711588
"GSE261345","CAN-001 CAN-002 | 017 | Full ROI","CAN-001 CAN-002",FALSE,"Full ROI",3717,3926554,47.2959966733029
"GSE261345","CAN-001 CAN-002 | 018 | Full ROI","CAN-001 CAN-002",FALSE,"Full ROI",3677,4716870,48.4195309927356
"GSE261345","CAN-001 CAN-002 | 019 | Full ROI","CAN-001 CAN-002",FALSE,"Full ROI",3964,7786811,45.865640240478
"GSE261345","CAN-001 CAN-002 | 020 | Full ROI","CAN-001 CAN-002",FALSE,"Full ROI",3298,7797635,51.0565577077038
"GSE261345","CAN-001 CAN-002 | 021 | Full ROI","CAN-001 CAN-002",FALSE,"Full ROI",3557,7469195,44.6481106253671
"GSE261345","CAN-005 CAN-006 | 001 | Full ROI","CAN-005 CAN-006",FALSE,"Full ROI",5396,5965666,47.8165087914676
"GSE261345","CAN-005 CAN-006 | 002 | Full ROI","CAN-005 CAN-006",FALSE,"Full ROI",4695,9620348,47.7423457993965
"GSE261345","CAN-005 CAN-006 | 003 | Full ROI","CAN-005 CAN-006",FALSE,"Full ROI",3778,7626716,45.3358384331968
"GSE261345","CAN-005 CAN-006 | 004 | Full ROI","CAN-005 CAN-006",FALSE,"Full ROI",5022,7989248,47.9485407040337
"GSE261345","CAN-005 CAN-006 | 005 | Full ROI","CAN-005 CAN-006",FALSE,"Full ROI",4145,8067956,48.4823325422134
"GSE261345","CAN-005 CAN-006 | 006 | Full ROI","CAN-005 CAN-006",FALSE,"Full ROI",4943,10344770,46.5454907986814
"GSE261345","CAN-005 CAN-006 | 007 | Full ROI","CAN-005 CAN-006",FALSE,"Full ROI",4730,10850097,48.6049668561271
"GSE261345","CAN-005 CAN-006 | 008 | Full ROI","CAN-005 CAN-006",FALSE,"Full ROI",3519,12606405,44.6577184034073
"GSE261345","CAN-005 CAN-006 | 009 | Full ROI","CAN-005 CAN-006",FALSE,"Full ROI",2909,13252614,49.1041042797188
"GSE261345","CAN-005 CAN-006 | 010 | Full ROI","CAN-005 CAN-006",FALSE,"Full ROI",4839,9848040,50.2359520424326
"GSE261345","CAN-005 CAN-006 | 011 | Full ROI","CAN-005 CAN-006",FALSE,"Full ROI",3367,12288551,45.7676734260553
"GSE261345","CAN-021 CAN-022 | 001 | Full ROI","CAN-021 CAN-022",FALSE,"Full ROI",3008,3389551,44.8849988432342
"GSE261345","CAN-021 CAN-022 | 002 | Full ROI","CAN-021 CAN-022",FALSE,"Full ROI",1909,2802532,49.4177783099007
"GSE261345","CAN-021 CAN-022 | 003 | Full ROI","CAN-021 CAN-022",FALSE,"Full ROI",1790,2025461,47.6161748807034
"GSE261345","CAN-021 CAN-022 | 004 | Full ROI","CAN-021 CAN-022",FALSE,"Full ROI",4453,5103437,50.3926447164143
"GSE261345","CAN-021 CAN-022 | 005 | Full ROI","CAN-021 CAN-022",FALSE,"Full ROI",3172,3078715,49.005086044028
"GSE261345","CAN-021 CAN-022 | 006 | Full ROI","CAN-021 CAN-022",FALSE,"Full ROI",3478,1569381,46.1943788155338
"GSE261345","CAN-017 CAN-018 | 001 | Full ROI","CAN-017 CAN-018",FALSE,"Full ROI",2971,4851582,46.2595239797164
"GSE261345","CAN-017 CAN-018 | 002 | Full ROI","CAN-017 CAN-018",FALSE,"Full ROI",2349,4396042,52.7082596899134
"GSE261345","CAN-017 CAN-018 | 003 | Full ROI","CAN-017 CAN-018",FALSE,"Full ROI",2555,4532512,49.0416556015721
"GSE261345","CAN-017 CAN-018 | 004 | Full ROI","CAN-017 CAN-018",FALSE,"Full ROI",2579,5352430,51.369536529787
"GSE261345","CAN-017 CAN-018 | 005 | Full ROI","CAN-017 CAN-018",FALSE,"Full ROI",2712,2460886,33.9216085222333
"GSE261345","CAN-017 CAN-018 | 006 | Full ROI","CAN-017 CAN-018",FALSE,"Full ROI",1779,2944698,54.3194768362206
"GSE261345","CAN-042 CAN-043 | 001 | Full ROI","CAN-042 CAN-043",FALSE,"Full ROI",3682,16811326,68.3537274535003
"GSE261345","CAN-042 CAN-043 | 002 | Full ROI","CAN-042 CAN-043",FALSE,"Full ROI",3644,39609012,83.4604643254683
"GSE261345","CAN-042 CAN-043 | 003 | Full ROI","CAN-042 CAN-043",FALSE,"Full ROI",3551,25664023,83.9045181058762
"GSE261345","CAN-042 CAN-043 | 004 | Full ROI","CAN-042 CAN-043",FALSE,"Full ROI",3532,20354253,82.6430146987414
"GSE261345","CAN-042 CAN-043 | 005 | Full ROI","CAN-042 CAN-043",FALSE,"Full ROI",3462,16413908,78.3328949654285
"GSE261345","CAN-042 CAN-043 | 006 | Full ROI","CAN-042 CAN-043",FALSE,"Full ROI",3712,21095023,82.9171836673977
"GSE261345","CAN-042 CAN-043 | 007 | Full ROI","CAN-042 CAN-043",FALSE,"Full ROI",1486,6741811,81.8886924097603
"GSE261345","CAN-028 CAN-029 | 001 | Full ROI","CAN-028 CAN-029",FALSE,"Full ROI",3480,6561197,50.8319607286872
"GSE261345","CAN-028 CAN-029 | 002 | Full ROI","CAN-028 CAN-029",FALSE,"Full ROI",3731,5979120,50.5376566128804
"GSE261345","CAN-028 CAN-029 | 003 | Full ROI","CAN-028 CAN-029",FALSE,"Full ROI",3557,4866489,50.232946330926
"GSE261345","CAN-028 CAN-029 | 004 | Full ROI","CAN-028 CAN-029",FALSE,"Full ROI",5164,6225619,50.3059176447603
"GSE261345","CAN-028 CAN-029 | 005 | Full ROI","CAN-028 CAN-029",FALSE,"Full ROI",4433,5529638,48.9022584190193
"GSE261345","CAN-028 CAN-029 | 006 | Full ROI","CAN-028 CAN-029",FALSE,"Full ROI",3843,5057401,50.4294090341911
"GSE261345","CAN-009 CAN-015 | 001 | Full ROI","CAN-009 CAN-015",FALSE,"Full ROI",3441,12344630,48.0170335735773
"GSE261345","CAN-009 CAN-015 | 002 | Full ROI","CAN-009 CAN-015",FALSE,"Full ROI",2467,5496174,50.1963732740736
"GSE261345","CAN-009 CAN-015 | 003 | Full ROI","CAN-009 CAN-015",FALSE,"Full ROI",3781,14097187,44.2621528353283
"GSE261345","CAN-009 CAN-015 | 004 | Full ROI","CAN-009 CAN-015",FALSE,"Full ROI",3475,5268675,49.2945863604406
"GSE261345","CAN-009 CAN-015 | 005 | Full ROI","CAN-009 CAN-015",FALSE,"Full ROI",1182,1371274,48.592672901793
"GSE261345","CAN-023 CAN-024 | 001 | Full ROI","CAN-023 CAN-024",FALSE,"Full ROI",4017,8212467,51.9149513795719
"GSE261345","CAN-023 CAN-024 | 002 | Full ROI","CAN-023 CAN-024",FALSE,"Full ROI",2501,4961191,50.6845447046385
"GSE261345","CAN-007 CAN-008 | 001 | Full ROI","CAN-007 CAN-008",FALSE,"Full ROI",4470,6621001,48.0544194669079
"GSE261345","CAN-007 CAN-008 | 002 | Full ROI","CAN-007 CAN-008",FALSE,"Full ROI",3833,3624620,46.4463859237092
"GSE261345","CAN-007 CAN-008 | 003 | Full ROI","CAN-007 CAN-008",FALSE,"Full ROI",4133,6231248,50.9655239416429
"GSE261345","CAN-007 CAN-008 | 004 | Full ROI","CAN-007 CAN-008",FALSE,"Full ROI",4065,6101565,47.6712830193195
"GSE261345","CAN-007 CAN-008 | 005 | Full ROI","CAN-007 CAN-008",FALSE,"Full ROI",3774,3062885,44.3708349351201
"GSE261345","CAN-007 CAN-008 | 006 | Full ROI","CAN-007 CAN-008",FALSE,"Full ROI",4210,8328249,49.6001405035253
"GSE261345","CAN-007 CAN-008 | 007 | Full ROI","CAN-007 CAN-008",FALSE,"Full ROI",4390,4598683,49.0745356219139
"GSE261345","CAN-007 CAN-008 | 008 | Full ROI","CAN-007 CAN-008",FALSE,"Full ROI",4599,4854538,49.5631156867966
"GSE261345","CAN-007 CAN-008 | 009 | Full ROI","CAN-007 CAN-008",FALSE,"Full ROI",5112,4159389,47.6069369306999
"GSE261345","CAN-007 CAN-008 | 010 | Full ROI","CAN-007 CAN-008",FALSE,"Full ROI",3968,5064864,53.2394658907882
"GSE261345","CAN-007 CAN-008 | 011 | Full ROI","CAN-007 CAN-008",FALSE,"Full ROI",4889,4438006,51.5495650085019
"GSE261345","CAN-003 CAN-004 | 001 | Full ROI","CAN-003 CAN-004",FALSE,"Full ROI",2000,9900316,46.7892274186113
"GSE261345","CAN-003 CAN-004 | 002 | Full ROI","CAN-003 CAN-004",FALSE,"Full ROI",1922,11206939,42.7579256587723
"GSE261345","CAN-003 CAN-004 | 003 | Full ROI","CAN-003 CAN-004",FALSE,"Full ROI",1684,9330681,45.6051367066026
"GSE261345","CAN-003 CAN-004 | 004 | Full ROI","CAN-003 CAN-004",FALSE,"Full ROI",1484,8840620,48.6917489736835
"GSE261345","CAN-003 CAN-004 | 005 | Full ROI","CAN-003 CAN-004",FALSE,"Full ROI",2095,12068926,40.5584116499763
"GSE261345","CAN-003 CAN-004 | 006 | Full ROI","CAN-003 CAN-004",FALSE,"Full ROI",2142,14349712,46.4083379879914
