"gene","mean_sclc","mean_other","delta","p","fdr","essential_sclc","selective"
"MYC",-1.4946,-1.9975,0.5029,0.0166710889892721,0.18084891589069,TRUE,FALSE
"MYCL",-0.117,-0.0203,-0.0967,0.274735440199016,0.669902693934617,FALSE,FALSE
"MYCN",-0.1115,-0.1292,0.0177,0.607951544109867,0.877112463986991,FALSE,FALSE
