dataset_id	file_name	source_url	size_bytes_expected	dest
GSE230649	GSM7230511_MYCN_H69_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230511/suppl/GSM7230511_MYCN_H69_R1_treat_pileup.bedgraph.gz	400971832	data/raw/GSE230649/GSM7230511_MYCN_H69_R1_treat_pileup.bedgraph.gz
GSE230649	GSM7230512_COLO668_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230512/suppl/GSM7230512_COLO668_treat_pileup.bedgraph.gz	331329518	data/raw/GSE230649/GSM7230512_COLO668_treat_pileup.bedgraph.gz
GSE230649	GSM7230513_H1048_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230513/suppl/GSM7230513_H1048_treat_pileup.bedgraph.gz	340443282	data/raw/GSE230649/GSM7230513_H1048_treat_pileup.bedgraph.gz
GSE230649	GSM7230514_H196_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230514/suppl/GSM7230514_H196_treat_pileup.bedgraph.gz	155789257	data/raw/GSE230649/GSM7230514_H196_treat_pileup.bedgraph.gz
GSE230649	GSM7230515_H524_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230515/suppl/GSM7230515_H524_treat_pileup.bedgraph.gz	210603083	data/raw/GSE230649/GSM7230515_H524_treat_pileup.bedgraph.gz
GSE230649	GSM7230516_H526_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230516/suppl/GSM7230516_H526_treat_pileup.bedgraph.gz	402912903	data/raw/GSE230649/GSM7230516_H526_treat_pileup.bedgraph.gz
GSE230649	GSM7230517_H69_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230517/suppl/GSM7230517_H69_treat_pileup.bedgraph.gz	417147703	data/raw/GSE230649/GSM7230517_H69_treat_pileup.bedgraph.gz
GSE230649	GSM7230518_H847_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230518/suppl/GSM7230518_H847_treat_pileup.bedgraph.gz	283836371	data/raw/GSE230649/GSM7230518_H847_treat_pileup.bedgraph.gz
GSE230649	GSM7230519_H889_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230519/suppl/GSM7230519_H889_treat_pileup.bedgraph.gz	332326285	data/raw/GSE230649/GSM7230519_H889_treat_pileup.bedgraph.gz
GSE230649	GSM7230520_SHP77_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230520/suppl/GSM7230520_SHP77_treat_pileup.bedgraph.gz	357082276	data/raw/GSE230649/GSM7230520_SHP77_treat_pileup.bedgraph.gz
GSE269424	GSM8315376_H524_EGFP_1_peaks.narrowPeak.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8315nnn/GSM8315376/suppl/GSM8315376_H524_EGFP_1_peaks.narrowPeak.gz	2514801	data/raw/GSE269424/GSM8315376_H524_EGFP_1_peaks.narrowPeak.gz
GSE269424	GSM8315377_H524_EGFP_2_peaks.narrowPeak.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8315nnn/GSM8315377/suppl/GSM8315377_H524_EGFP_2_peaks.narrowPeak.gz	2379647	data/raw/GSE269424/GSM8315377_H524_EGFP_2_peaks.narrowPeak.gz
GSE269424	GSM8315378_Lu139_EGFP_1_peaks.narrowPeak.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8315nnn/GSM8315378/suppl/GSM8315378_Lu139_EGFP_1_peaks.narrowPeak.gz	1333979	data/raw/GSE269424/GSM8315378_Lu139_EGFP_1_peaks.narrowPeak.gz
GSE269424	GSM8315379_Lu139_EGFP_2_peaks.narrowPeak.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8315nnn/GSM8315379/suppl/GSM8315379_Lu139_EGFP_2_peaks.narrowPeak.gz	1597345	data/raw/GSE269424/GSM8315379_Lu139_EGFP_2_peaks.narrowPeak.gz
GSE256345	GSE256345_H146_Peaks_merge500.bed.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE256nnn/GSE256345/suppl/GSE256345_H146_Peaks_merge500.bed.gz	1428946	data/raw/GSE256345/GSE256345_H146_Peaks_merge500.bed.gz
GSE256345	GSE256345_H82_Peaks_merge500.bed.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE256nnn/GSE256345/suppl/GSE256345_H82_Peaks_merge500.bed.gz	1691187	data/raw/GSE256345/GSE256345_H82_Peaks_merge500.bed.gz
GSE281523	GSM8622646_ATAC_FFPE_Never-met_Rep1.PeakNorm.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8622nnn/GSM8622646/suppl/GSM8622646_ATAC_FFPE_Never-met_Rep1.PeakNorm.bw	109518831	data/raw/GSE281523/GSM8622646_ATAC_FFPE_Never-met_Rep1.PeakNorm.bw
GSE281523	GSM8622647_ATAC_FFPE_Never-met_Rep2.PeakNorm.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8622nnn/GSM8622647/suppl/GSM8622647_ATAC_FFPE_Never-met_Rep2.PeakNorm.bw	132186234	data/raw/GSE281523/GSM8622647_ATAC_FFPE_Never-met_Rep2.PeakNorm.bw
GSE281523	GSM8622648_ATAC_FFPE_Met-associated_Rep1.PeakNorm.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8622nnn/GSM8622648/suppl/GSM8622648_ATAC_FFPE_Met-associated_Rep1.PeakNorm.bw	66363559	data/raw/GSE281523/GSM8622648_ATAC_FFPE_Met-associated_Rep1.PeakNorm.bw
GSE281523	GSM8622649_ATAC_FFPE_Met-associated_Rep2.PeakNorm.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8622nnn/GSM8622649/suppl/GSM8622649_ATAC_FFPE_Met-associated_Rep2.PeakNorm.bw	99121526	data/raw/GSE281523/GSM8622649_ATAC_FFPE_Met-associated_Rep2.PeakNorm.bw
GSE281523	GSM8622650_ATAC_Lx101_Rep1_14046_BT_29_hg38_sorted.RmDup.10mNorm.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8622nnn/GSM8622650/suppl/GSM8622650_ATAC_Lx101_Rep1_14046_BT_29_hg38_sorted.RmDup.10mNorm.bw	141568827	data/raw/GSE281523/GSM8622650_ATAC_Lx101_Rep1_14046_BT_29_hg38_sorted.RmDup.10mNorm.bw
GSE281523	GSM8622651_ATAC_Lx101_Rep2_14046_BT_33_hg38_sorted.RmDup.10mNorm.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8622nnn/GSM8622651/suppl/GSM8622651_ATAC_Lx101_Rep2_14046_BT_33_hg38_sorted.RmDup.10mNorm.bw	134533653	data/raw/GSE281523/GSM8622651_ATAC_Lx101_Rep2_14046_BT_33_hg38_sorted.RmDup.10mNorm.bw
GSE281523	GSM8622652_ATAC_Lx328_Rep1_14046_BT_27_hg38_sorted.RmDup.10mNorm.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8622nnn/GSM8622652/suppl/GSM8622652_ATAC_Lx328_Rep1_14046_BT_27_hg38_sorted.RmDup.10mNorm.bw	128645937	data/raw/GSE281523/GSM8622652_ATAC_Lx328_Rep1_14046_BT_27_hg38_sorted.RmDup.10mNorm.bw
GSE281523	GSM8622653_ATAC_Lx328_Rep2_14046_BT_31_hg38_sorted.RmDup.10mNorm.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8622nnn/GSM8622653/suppl/GSM8622653_ATAC_Lx328_Rep2_14046_BT_31_hg38_sorted.RmDup.10mNorm.bw	130483367	data/raw/GSE281523/GSM8622653_ATAC_Lx328_Rep2_14046_BT_31_hg38_sorted.RmDup.10mNorm.bw
GSE281523	GSM8622654_ATAC_Lx891_Rep1_14046_BT_28_hg38_sorted.RmDup.10mNorm.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8622nnn/GSM8622654/suppl/GSM8622654_ATAC_Lx891_Rep1_14046_BT_28_hg38_sorted.RmDup.10mNorm.bw	105008081	data/raw/GSE281523/GSM8622654_ATAC_Lx891_Rep1_14046_BT_28_hg38_sorted.RmDup.10mNorm.bw
GSE281523	GSM8622655_ATAC_Lx891_Rep2_14046_BT_32_hg38_sorted.RmDup.10mNorm.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8622nnn/GSM8622655/suppl/GSM8622655_ATAC_Lx891_Rep2_14046_BT_32_hg38_sorted.RmDup.10mNorm.bw	116154272	data/raw/GSE281523/GSM8622655_ATAC_Lx891_Rep2_14046_BT_32_hg38_sorted.RmDup.10mNorm.bw
GSE281523	GSM8622656_ATAC_Lx1231_Rep1_14046_BT_30_hg38_sorted.RmDup.10mNorm.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8622nnn/GSM8622656/suppl/GSM8622656_ATAC_Lx1231_Rep1_14046_BT_30_hg38_sorted.RmDup.10mNorm.bw	134685261	data/raw/GSE281523/GSM8622656_ATAC_Lx1231_Rep1_14046_BT_30_hg38_sorted.RmDup.10mNorm.bw
GSE281523	GSM8622657_ATAC_Lx1231_Rep2_14046_BT_34_hg38_sorted.RmDup.10mNorm.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8622nnn/GSM8622657/suppl/GSM8622657_ATAC_Lx1231_Rep2_14046_BT_34_hg38_sorted.RmDup.10mNorm.bw	106259308	data/raw/GSE281523/GSM8622657_ATAC_Lx1231_Rep2_14046_BT_34_hg38_sorted.RmDup.10mNorm.bw
