"","MYC","MYCN","MYCL1"
"MYC",0.317045072721164,0.250740375123396,0.215301553858309
"MYCN",0.203523256372102,0.228035538005923,0.168685804582565
"MYCL1",0.479431670906734,0.521224086870681,0.616012641559126
